Compound,Aatom,Batom,rA,rB,MA,MB,dAO,dBO,rA/rO,rB/rO,t
AgIO3,Ag,I,1.46,0.95,65,96,1.805,2.003,1.081,0.7040000000000001,0.8638582497050306
AgPaO3,Ag,Pa,1.46,0.78,65,18,1.805,2.11,1.081,0.578,0.9327848477761889
AgReO3,Ag,Re,1.46,0.58,65,54,1.805,1.86,1.081,0.43,1.029415800943284
AgUO3,Ag,U,1.46,0.76,65,20,1.805,2.075,1.081,0.563,0.9416238426072988
AgWO3,Ag,W,1.46,0.62,65,51,1.805,1.89,1.081,0.459,1.0085204586906458
NaReO3,Na,Re,1.39,0.58,2,54,1.5766,1.86,1.03,0.43,1.0037775834626348
TlWO3,Tl,W,1.115,0.62,76,51,2.003,1.89,0.826,0.459,0.8847255554300338
CaAmO3,Ca,Am,1.34,0.85,7,26,1.967,2.11,0.993,0.63,0.8645548789001452
CaCeO3,Ca,Ce,1.34,0.87,7,15,1.967,2.028,0.993,0.644,0.8567682461247204
CaCoO3,Ca,Co,1.34,0.61,7,58,1.967,1.6369999999999998,0.993,0.452,0.97038564521026
CaNpO3,Ca,Np,1.34,1.01,7,22,1.967,2.11,0.993,0.748,0.8059562083201065
CaPaO3,Ca,Pa,1.34,0.78,7,18,1.967,2.11,0.993,0.578,0.8929593066133111
CaPrO3,Ca,Pr,1.34,0.99,7,17,1.967,2.0980000000000003,0.993,0.733,0.8128429189855338
CaPuO3,Ca,Pu,1.34,0.86,7,24,1.967,2.09,0.993,0.637,0.8606439505809198
CaTbO3,Ca,Tb,1.34,0.76,7,29,1.967,2.013,0.993,0.563,0.9014209177923129
CaTeO3,Ca,Te,1.34,0.56,7,90,1.967,1.977,0.993,0.415,0.9957802612472303
CaThO3,Ca,Th,1.34,0.94,7,16,1.967,2.167,0.993,0.696,0.8305858318374308
CdAmO3,Cd,Am,1.31,0.85,70,26,1.904,2.11,0.97,0.63,0.8549151994482921
CdCeO3,Cd,Ce,1.31,0.87,70,15,1.904,2.028,0.97,0.644,0.8472153866605816
CdCoO3,Cd,Co,1.31,0.61,70,58,1.904,1.6369999999999998,0.97,0.452,0.9595659658668197
