Compound ML DOM0 DOM100 H OQMDdistance SG
AgIO3 P NP NP -0.58 -80 29
AgPaO3 P P P -2.33 -361 167
AgReO3 P D D -1.22 301 221
AgUO3 P P P -2.51 -9 167
AgWO3 P D D -1.68 281 221
NaReO3 P D CP -1.93 7 221
TlWO3 P D D -1.85 111 221
CaAmO3 P - - - - -
CaCeO3 P D D -2.39 661 221
CaCoO3 P D P -1.89 37 167
CaNpO3 P D D -2.89 613 221
CaPaO3 P NP NP -3.19 -51 148
CaPrO3 P D D -2.41 672 221
CaPuO3 P P P -3.34 -109 62
CaTbO3 P D D -2.54 530 221
CaTeO3 P NP NP -2.23 -21 4
CaThO3 P D D -3.2 617 221
CdAmO3 P - - - - -
CdCeO3 P D D -2.15 105 62
CdCoO3 P D NP -1.05 74 148
CdCrO3 P D NP -1.73 92 148
CdHfO3 P D NP -2.79 10 148
CdIrO3 P D D -1.02 110 148
CdMnO3 P D NP -1.59 20 148
CdMoO3 P D D -1.67 156 167
CdNbO3 P D D -2.11 147 148
CdPaO3 P P P -2.37 -13 167
CdPuO3 P P P -2.49 4 167
CdRuO3 P D NP -1.16 98 148
CdTbO3 P D D -1.57 706 221
CdUO3 P D D -2.67 116 62
CdVO3 P NP NP -2.03 -17 62
CdZrO3 P D NP -2.65 21 148
Eu(II)Co(IV)O3 P P P -2.14 -38 62
EuCrO3 P P P -2.8 -51 62
EuGeO3 P P P -2.7 -212 167
EuHfO3 P P P -3.84 -182 62
EuIrO3 P P P -2.1 -43 62
EuMnO3 P P P -2.61 3 167
EuMoO3 P P P -2.81 -101 62
EuNbO3 P P P -3.21 -53 62
EuPaO3 P P P -3.34 -123 62
EuPbO3 P P P -2.18 -150 62
EuPuO3 P P P -3.5 -187 62
Eu(II)Ru(IV)O3 P P P -2.26 -112 62
EuSnO3 P P P -2.7 -171 62
EuUO3 P D D -3.14 507 221
Eu(II)V(IV)O3 P P P -3.1 -93 62
EuZrO3 P P P -3.69 -152 62
HgAmO3 P - - - - -
HgCoO3 P D D -0.7 112 148
HgCrO3 P D NP -1.36 93 148
HgGeO3 P D NP -1.28 46 148
HgHfO3 P D P -2.42 67 167
HgIrO3 P D D -0.71 110 148
HgMnO3 P D NP -1.21 27 148
HgMoO3 P D D -1.49 236 148
HgNbO3 P D D -1.95 124 148
HgPaO3 P CP CP -2.17 1 221
HgPbO3 P D NP -0.84 10 148
HgPuO3 P P P -2.17 -28 167
HgRuO3 P D D -0.83 113 148
HgSnO3 P D NP -1.31 40 148
HgTbO3 P D D -1.3 663 221
HgUO3 P D D -2.35 166 167
HgVO3 P NP NP -1.73 -28 2
HgZrO3 P D P -2.28 86 167
MnHfO3 P D NP -3.11 9 148
MnIrO3 P D D -0.83 669 221
MnMoO3 P D D -2.01 151 148
MnNbO3 P D D -2.38 127 62
MnRuO3 P D NP -1.54 58 148
MnZrO3 P D NP -2.97 21 148
PbAmO3 P - - - - -
PbIrO3 P D D -1.06 166 148
PbMoO3 P D D -1.75 137 221
PbNbO3 P D D -2.17 128 221
PbNpO3 P D D -2.63 122 62
PbPaO3 P P P -2.41 -22 62
PbPrO3 P D D -1.8 605 221
PbPuO3 P P P -2.54 -55 62
PbRuO3 P D D -1.19 103 148
PbTbO3 P D D -2.27 123 148
PbThO3 P D D -2.9 173 62
PbUO3 P D D -2.72 105 62
PbVO3 P D NP -2.06 23 99
SrCrO3 P D P -2.56 41 62
SrNpO3 P P P -3.42 -14 62
SrPaO3 P P P -3.18 -144 62
SrUO3 P P P -3.49 -18 62
BiCoO3 P D D -1.26 124 62
BiCrO3 P D P -1.96 19 62
BiCuO3 P D P -1.06 30 62
BiErO3 P D D -2.09 600 221
BiGaO3 P D NP -1.79 5 54
BiHoO3 P D D -2.05 628 221
BiLaO3 P D D -1.9 693 221
BiLuO3 P D P -2.69 32 62
BiNiO3 P D NP -1.25 14 2
BiRhO3 P D P -1.18 60 62
BiRuO3 P D D -1.18 138 62
BiTiO3 P D D -2.28 171 148
BiTmO3 P D D -2.14 568 221
BiVO3 P D P -2.05 7 62
BiYO3 P D D -1.98 659 221
CeCoO3 P P P -2.42 -36 62
CeCuO3 P P P -2.15 4 167
CeInO3 P P P -2.69 -4 62
CeNiO3 P P P -2.29 2 167
CeRhO3 P P P -2.29 -61 62
CeRuO3 P D P -2.29 37 62
CeScO3 P P P -3.7 -38 62
DyCuO3 P D P -2.28 47 62
DyGaO3 P D P -2.97 17 62
DyRuO3 P D D -1.91 585 221
ErCoO3 P D P -2.55 24 62
ErGaO3 P D P -2.99 21 62
ErInO3 P D D -2.1 775 221
ErRuO3 P D D -1.86 658 221
ErScO3 P D D -3.27 583 221
EuAmO3 P - - - - -
Eu(III)Co(III)O3 P P P -2.14 -38 62
EuCuO3 P D CP -1.78 60 221
Eu(III)Ru(III)O3 P P P -2.26 -112 62
EuTiO3 P P P -3.56 3 167
Eu(III)V(III)O3 P P P -3.1 -93 62
GdCuO3 P D P -2.26 43 62
GdRuO3 P D D -1.96 526 221
HoGaO3 P D P -2.98 20 62
HoInO3 P D D -2.12 736 221
HoRuO3 P D D -1.88 622 221
HoVO3 P P P -3.27 1 62
InGaO3 P D NP -1.97 2 194
LuCoO3 P D P -2.57 35 62
LuGaO3 P D P -3 30 62
LuInO3 P D D -2.01 893 221
LuNiO3 P D P -2.44 37 62
LuRhO3 P D D -1.73 720 221
LuRuO3 P D D -1.78 772 221
LuScO3 P D D -3.19 696 221
LuVO3 P D D -2.74 553 221
NdCuO3 P D P -2.18 74 62
NdRuO3 P D P -2.34 41 62
PrCuO3 P P P -2.17 3 167
PrInO3 P D P -2.71 5 62
PuGaO3 P P P -2.9 -28 62
SmCuO3 P D P -2.22 47 62
SmGaO3 P D P -2.92 6 62
SmRuO3 P D P -2.37 49 62
TbCuO3 P P P -2.14 -40 62
TbGaO3 P D P -2.83 15 62
TbInO3 P D D -2.05 657 221
TbNiO3 P D P -2.27 8 62
TbRuO3 P D D -1.8 560 221
TbScO3 P D P -3.66 19 62
TlCoO3 P D D -0.99 107 148
TlGaO3 P D NP -1.46 58 148
TlMnO3 P D P -1.43 51 62
TlRhO3 P D NP -0.93 36 148
TlRuO3 P D NP -1.07 40 148
TlScO3 P D NP -2.32 56 148
TlVO3 P D D -1.86 108 148
TmCoO3 P D P -2.57 27 62
TmGaO3 P D P -3 19 62
TmInO3 P D D -2.07 823 221
TmMnO3 P NP NP -3.02 -49 185
TmRhO3 P D D -1.78 653 221
TmRuO3 P D D -1.83 704 221
TmScO3 P D D -3.24 629 221
YbCoO3 P P P -2.11 -79 62
YbInO3 P D D -2.19 136 62
YbRhO3 P P P -2.11 -89 62
YbRuO3 P P P -2.25 -83 62
YbScO3 P D P -3.21 98 62
YRhO3 P D D -1.85 523 221
YRuO3 P D D -1.9 570 221
YYbO3 P D D -2.72 588 221
CeLaO3 P D D -2.73 890 221
CeYO3 P D D -3.14 528 221
DyErO3 P D D -3 869 221
DyLuO3 P D D -3.15 758 221
DyTmO3 P D D -3.07 825 221
DyYbO3 P D D -2.76 569 221
ErLuO3 P D D -3.09 837 221
ErYbO3 P D D -2.82 529 221
EuCeO3 P D D -2.56 562 221
EuErO3 P D P -3.21 98 62
EuLuO3 P D P -3.26 94 62
EuTbO3 P D D -3.02 116 62
EuTmO3 P D P -3.23 90 62
EuYbO3 P D D -2.28 487 221
GdErO3 P D D -3.06 783 221
GdLuO3 P D D -3.2 674 221
GdTmO3 P D D -3.12 740 221
GdYbO3 P D D -2.69 614 221
HoLuO3 P D D -3.12 797 221
HoYbO3 P D D -2.79 548 221
LuYbO3 P D D -3.24 140 62
NdErO3 P D D -3.18 576 221
NdTmO3 P D D -3.24 537 221
SmErO3 P D D -3.12 676 221
SmLuO3 P D D -3.26 572 221
SmTmO3 P D D -3.18 635 221
SmYbO3 P D D -2.58 671 221
TbErO3 P D D -2.9 827 221
TbLuO3 P D D -3.04 717 221
TbTmO3 P D D -2.96 783 221
TbYbO3 P D D -2.59 591 221
TmLuO3 P D D -3.06 886 221
TmYbO3 P D D -2.87 503 221
YbLuO3 P D D -3.24 140 62
YLuO3 P D D -3.15 734 221
CsBiO3 CP NP NP -1.4 1 148
CsPaO3 CP CP CP -2.87 0 221
CsReO3 CP D D -1.82 108 148
CsSbO3 CP NP NP -1.81 -9 148
CsTaO3 CP D NP -2.84 5 148
CsUO3 CP D CP -3.04 10 221
CsWO3 CP NP NP -2.2 -22 148
KReO3 CP D CP -1.92 8 221
KWO3 CP CP CP -2.37 0 221
RbBiO3 CP NP NP -1.42 -71 148
RbReO3 CP D D -1.81 115 221
RbSbO3 CP NP NP -1.85 -149 148
RbWO3 CP D D -2.26 115 221
TlBiO3 CP D NP -1.16 47 148
TlNbO3 CP NP NP -2.29 -86 148
TlPaO3 CP CP CP -2.56 -358 221
TlReO3 CP D D -1.4 124 148
TlTaO3 CP NP NP -2.46 -49 148
TlUO3 CP CP CP -2.75 -108 221
BaVO3 CP D NP -2.8 63 12
AgAsO3 NP NP NP -1.11 -32 148
CsAsO3 NP D D -0.97 728 221
