Compound,Perovskite,Cubic,rA,rB,MA,MB,dAO,dBO,rA/rO,rB/rO,t
AgBiO3,-1,0,1.46,0.76,65,86,1.805,2.06,1.081,0.563,0.9420000000000001
AgBrO3,-1,0,1.46,0.47,65,95,1.805,1.84,1.081,0.348,1.092
AgNO3,-1,0,1.46,0.13,65,82,1.805,1.432,1.081,0.096,1.3430000000000002
AgPO3,-1,0,1.46,0.38,65,83,1.805,1.604,1.081,0.281,1.149
AgSbO3,-1,0,1.46,0.6,65,85,1.805,1.942,1.081,0.444,1.0190000000000001
AgVO3,-1,0,1.46,0.54,65,46,1.805,1.7990000000000002,1.081,0.4,1.053
AlBO3,-1,0,0.7879999999999999,0.27,73,72,1.6440000000000001,1.371,0.584,0.2,0.9329999999999999
AlFeO3,-1,0,0.7879999999999999,0.645,73,55,1.6440000000000001,1.751,0.584,0.478,0.758
BaCO3,-1,0,1.61,0.16,9,77,2.285,1.39,1.193,0.11900000000000001,1.386
BaCoO3,-1,0,1.61,0.53,9,58,2.285,1.72,1.193,0.39299999999999996,1.113
BaCrO3,-1,0,1.61,0.55,9,49,2.285,1.81,1.193,0.40700000000000003,1.102
BaGeO3,-1,0,1.61,0.53,9,79,2.285,1.7480000000000002,1.193,0.39299999999999996,1.113
BaMnO3,-1,0,1.61,0.53,9,52,2.285,1.75,1.193,0.39299999999999996,1.113
BaNiO3,-1,0,1.61,0.48,9,61,2.285,1.78,1.193,0.35600000000000004,1.1440000000000001
BaSiO3,-1,0,1.61,0.4,9,78,2.285,1.624,1.193,0.29600000000000004,1.196
BaTeO3,-1,0,1.61,0.56,9,90,2.285,1.9769999999999999,1.193,0.415,1.0959999999999999
CaCO3,-1,0,1.34,0.16,7,77,1.9669999999999999,1.39,0.993,0.11900000000000001,1.26
CdCO3,-1,0,1.31,0.16,70,77,1.9040000000000001,1.39,0.97,0.11900000000000001,1.246
CdPbO3,-1,0,1.31,0.775,70,81,1.9040000000000001,2.042,0.97,0.574,0.885
CdSeO3,-1,0,1.31,0.5,70,89,1.9040000000000001,1.811,0.97,0.37,1.0170000000000001
CdSO3,-1,0,1.31,0.37,70,88,1.9040000000000001,1.6440000000000001,0.97,0.27399999999999997,1.094
CdTeO3,-1,0,1.31,0.56,70,90,1.9040000000000001,1.9769999999999999,0.97,0.415,0.985
CeDyO3,-1,0,1.34,0.912,15,31,2.116,2.005,0.993,0.6759999999999999,0.841
CeErO3,-1,0,1.34,0.89,15,35,2.116,1.979,0.993,0.659,0.8490000000000001
CeHoO3,-1,0,1.34,0.9009999999999999,15,33,2.116,1.992,0.993,0.667,0.845
CoCO3,-1,0,1.077,0.16,58,77,1.685,1.39,0.7979999999999999,0.11900000000000001,1.137
CoGeO3,-1,0,1.077,0.53,58,79,1.685,1.7480000000000002,0.7979999999999999,0.39299999999999996,0.9129999999999999
CoMnO3,-1,0,1.077,0.53,58,52,1.685,1.75,0.7979999999999999,0.39299999999999996,0.9129999999999999
CoSeO3,-1,0,1.077,0.5,58,89,1.685,1.811,0.7979999999999999,0.37,0.9279999999999999
CoSiO3,-1,0,1.077,0.4,58,78,1.685,1.624,0.7979999999999999,0.29600000000000004,0.981
CoTeO3,-1,0,1.077,0.56,58,90,1.685,1.9769999999999999,0.7979999999999999,0.415,0.899
CoTiO3,-1,0,1.077,0.605,58,43,1.685,1.815,0.7979999999999999,0.44799999999999995,0.878
CsBrO3,-1,0,1.88,0.47,5,95,2.2862,1.84,1.393,0.348,1.255
CsNbO3,-1,0,1.88,0.64,5,47,2.2862,1.916,1.393,0.474,1.148
CsVO3,-1,0,1.88,0.54,5,46,2.2862,1.7990000000000002,1.393,0.4,1.208
CuCO3,-1,0,0.9997,0.16,64,77,1.655,1.39,0.741,0.11900000000000001,1.1
CuGeO3,-1,0,0.9997,0.53,64,79,1.655,1.7480000000000002,0.741,0.39299999999999996,0.884
CuNbO3,-1,0,0.9997,0.68,64,47,1.655,1.88,0.741,0.504,0.818
CuSeO3,-1,0,0.9997,0.5,64,89,1.655,1.811,0.741,0.37,0.898
CuSiO3,-1,0,0.9997,0.4,64,78,1.655,1.624,0.741,0.29600000000000004,0.9490000000000001
CuTeO3,-1,0,0.9997,0.56,64,90,1.655,1.9769999999999999,0.741,0.415,0.87
CuVO3,-1,0,0.9997,0.58,64,46,1.655,1.78,0.741,0.43,0.861
DyBO3,-1,0,1.2,0.27,31,72,2.005,1.371,0.889,0.2,1.113
ErBO3,-1,0,1.179,0.27,35,72,1.979,1.371,0.873,0.2,1.104
