Compound,LOG  P,LOG  P Prob,DT  P,DT  P Prob,RF  P,RF  P Prob,GB  P,GB  P Prob,LOG  C,LOG  C Prob,DT  C,DT  C Prob,RF  C,RF  C Prob,GB  C,GB  C Prob
AgIO3,0,0.48513392260612304,0,0.041666666666666664,1,0.5674789915966386,0,0.20319432165881013,-1,,-1,,1,0.6718383838383838,-1,
AgPaO3,0,0.21939615091238618,1,0.8461538461538461,1,0.589623654201017,1,0.5966244397341649,-1,,1,1.0,1,0.6718383838383838,0,0.0001063490384692896
AgReO3,0,0.18297595709933842,0,0.1111111111111111,0,0.13643137254901963,0,0.001812822917784985,-1,,-1,,-1,,-1,
AgUO3,0,0.3422497939414677,1,0.8461538461538461,0,0.38263800826800254,0,0.07379334865001821,-1,,1,1.0,-1,,-1,
AgWO3,0,0.46422017741754473,1,0.8461538461538461,1,0.8244294794437352,1,0.7025946947887503,-1,,1,1.0,1,0.6718383838383838,0,0.0001063490384692896
NaReO3,0,0.4824857926976064,0,0.1111111111111111,0,0.39,0,0.00409050615316145,-1,,-1,,-1,,-1,
TlWO3,0,0.18346406558577225,1,0.9782608695652174,1,0.9991955028491448,1,0.9979358472558202,-1,,0,0.0,0,0.0,0,2.2383261131310957e-05
CaAmO3,0,0.20184281376854657,1,0.9782608695652174,1,0.914882703099452,1,0.9930889844637806,-1,,0,0.0,0,0.0,0,2.2383261131310994e-05
CaCeO3,1,0.5841409352402875,1,0.9782608695652174,1,0.9365493697661187,1,0.9987005666459067,0,0.04579368592449523,0,0.0,0,0.0,0,2.2383261131310994e-05
CaCoO3,1,0.998738252542514,1,0.9782608695652174,1,0.9986399472935892,1,0.9989075783180666,0,0.0029650477352994994,0,0.0,0,0.0,0,2.2383261131310957e-05
CaNpO3,0,0.006199103602986508,0,0.06666666666666667,0,0.3,0,0.2679265957747201,-1,,-1,,-1,,-1,
CaPaO3,0,0.2926514766073303,1,0.9782608695652174,1,0.9927398459565947,1,0.9986674034156179,-1,,0,0.0,0,0.0,0,2.2383261131310994e-05
CaPrO3,0,0.01641670804362451,0,0.06666666666666667,0,0.32,0,0.35871829173620357,-1,,-1,,-1,,-1,
CaPuO3,0,0.27742685684068624,1,0.9782608695652174,1,0.9465493697661187,1,0.9930889844637806,-1,,0,0.0,0,0.0,0,2.2383261131310994e-05
CaTbO3,1,0.7753820934618931,1,0.9782608695652174,1,0.9831244613412102,1,0.9987216070063062,0,0.19768661112981603,0,0.0,0,0.0,0,2.2383261131310994e-05
CaTeO3,0,0.07251989849694421,1,0.9782608695652174,1,0.8391304347826086,1,0.9983229563632061,-1,,0,0.0,0,0.0,0,2.2383261131310957e-05
CaThO3,0,0.01585497553872664,0,0.06666666666666667,0,0.19666666666666668,0,0.004579263826369645,-1,,-1,,-1,,-1,
CdAmO3,0,0.01379275578966772,1,0.5714285714285714,0,0.48999726609636796,1,0.9482401687062516,-1,,0,0.0,-1,,0,2.2383261131310994e-05
CdCeO3,0,0.06954498114569471,1,0.5714285714285714,1,0.5433305994297012,1,0.8564446839380994,-1,,0,0.0,0,0.0,0,2.2383261131310994e-05
CdCoO3,1,0.9866601067114651,1,0.8461538461538461,1,0.8174899600259549,1,0.94009234940941,0,5.100960060586826e-120,0,0.0,0,0.0,0,2.2383261131310957e-05
CdCrO3,1,0.9445699693300023,1,0.8461538461538461,1,0.9574899600259549,1,0.971250117229629,0,9.12195512578776e-120,0,0.0,0,0.0,0,2.2383261131310957e-05
CdHfO3,1,0.5473551147926623,1,0.8461538461538461,1,0.6312937269454604,1,0.9257298973961647,0,5.471348236492902e-118,0,0.0,0,0.0,0,2.2383261131310994e-05
CdIrO3,0,0.44385008768869383,1,0.8461538461538461,1,0.9774899600259549,1,0.9702477263747972,-1,,0,0.0,0,0.0,0,2.2383261131310994e-05
CdMnO3,1,0.960012870030656,1,0.8461538461538461,1,0.7937185998072265,1,0.8928463328691234,0,1.7204231839969152e-119,0,0.0,0,0.0,0,2.2383261131310994e-05
CdMoO3,1,0.548256705946595,1,0.8461538461538461,1,0.793912774564508,1,0.8928463328691234,0,6.429462051181159e-118,0,0.0,0,0.0,0,2.2383261131310994e-05
CdNbO3,1,0.659056012226158,1,0.8461538461538461,1,0.7329603936121272,1,0.941629172194813,0,3.030888422179971e-118,0,0.0,0,0.0,0,2.2383261131310994e-05
CdPaO3,0,0.025663659733505623,1,0.5714285714285714,0,0.4549179010170029,1,0.7790962445193597,-1,,0,0.0,-1,,0,2.2383261131310994e-05
CdPuO3,0,0.020401189849603672,1,0.5714285714285714,1,0.509997266096368,1,0.9482401687062516,-1,,0,0.0,0,0.0,0,2.2383261131310994e-05
CdRuO3,1,0.6204374033427896,1,0.8461538461538461,1,0.9574899600259549,1,0.9702477263747972,0,5.758479262024211e-118,0,0.0,0,0.0,0,2.2383261131310994e-05
CdTbO3,0,0.18644911695887018,1,0.5714285714285714,0,0.36807877523050864,0,0.38685970582396223,-1,,0,0.0,-1,,-1,
CdUO3,0,0.05672701924365617,1,0.5714285714285714,0,0.36807877523050864,0,0.38685970582396223,-1,,0,0.0,-1,,-1,
CdVO3,1,0.9414741671273029,1,0.8461538461538461,1,0.8820952231838497,1,0.9702477263747972,0,1.160200844072389e-119,0,0.0,0,0.0,0,2.2383261131310994e-05
CdZrO3,1,0.5250907413871562,1,0.8461538461538461,1,0.6084365840883175,1,0.9257298973961647,0,6.040274225613151e-118,0,0.0,0,0.0,0,2.2383261131310994e-05
Eu(II)Co(IV)O3,1,1.0,0,0.041666666666666664,0,0.03,0,0.040615668638945425,0,8.329653147874775e-56,-1,,-1,,-1,
EuCrO3,1,0.9909913276291729,1,0.9782608695652174,1,0.9991955028491448,1,0.9989075783180666,0,7.376491077205938e-29,0,0.0,0,0.0,0,2.2383261131310994e-05
EuGeO3,1,0.7388228141938894,1,1.0,1,0.9191304347826087,1,0.9985845618240369,0,5.83292274936493e-26,0,0.0,0,0.0,0,2.2383261131310957e-05
EuHfO3,1,0.8233033440562479,1,0.9782608695652174,1,0.9993896776064264,1,0.9989061487682539,0,5.462676377186185e-27,0,0.0,0,0.0,0,2.2383261131310994e-05
EuIrO3,1,0.8295872795175999,1,0.9782608695652174,1,0.9991955028491448,1,0.9989075783180666,0,2.1494459481731465e-26,0,0.0,0,0.0,0,2.2383261131310994e-05
EuMnO3,1,0.9924230668861233,1,0.9782608695652174,1,0.9991955028491448,1,0.9989075783180666,0,1.4902156078140803e-28,0,0.0,0,0.0,0,2.2383261131310994e-05
EuMoO3,1,0.8656147293414261,1,0.9782608695652174,1,0.9993896776064264,1,0.9989075783180666,0,5.632182762314652e-27,0,0.0,0,0.0,0,2.2383261131310994e-05
EuNbO3,1,0.8971291022042671,1,0.9782608695652174,1,0.9993896776064264,1,0.9989075783180666,0,2.8372408333578044e-27,0,0.0,0,0.0,0,2.2383261131310994e-05
EuPaO3,0,0.06669807116599406,1,0.9782608695652174,1,0.9953372485539973,1,0.9966581077476931,-1,,0,0.0,0,0.0,0,2.2383261131310994e-05
EuPbO3,0,0.2683391175071809,1,0.9782608695652174,1,0.9753372485539974,1,0.9920858449715626,-1,,0,0.0,0,0.0,0,2.2383261131310994e-05
EuPuO3,0,0.03743112011881807,0,0.06666666666666667,0,0.23,0,0.011396415372194352,-1,,-1,,-1,,-1,
Eu(II)Ru(IV)O3,1,1.0,0,0.041666666666666664,0,0.03,0,0.040615668638945425,0,8.329653147874775e-56,-1,,-1,,-1,
EuSnO3,1,0.8669403276254192,1,0.9782608695652174,1,0.9993896776064264,1,0.9989061487682539,0,5.268077032401426e-25,0,0.0,0,0.0,0,2.2383261131310994e-05
EuUO3,0,0.15249942085870122,1,0.9782608695652174,1,0.9731943914111402,1,0.9911105525421624,-1,,0,0.0,0,0.0,0,2.2383261131310994e-05
