material_id,full_formula,icsd_ids,spacegroup.number,band_gap,run_type,cif,e_above_hull,elements
mp-1000,Ba1Te1,"[616165, 616163, 29152, 43656]",225,1.8555,GGA,"# generated using pymatgen
data_BaTe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.01321596
_cell_length_b   5.01321596
_cell_length_c   5.01321596
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaTe
_chemical_formula_sum   'Ba1 Te1'
_cell_volume   89.09108390
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.00000000  0.00000000  0.00000000  1
  Te  Te1  1  0.50000000  0.50000000  0.50000000  1
",0.0,"['Ba', 'Te']"
mp-1002124,Hf1C1,[185992],216,0.5773999999999999,GGA,"# generated using pymatgen
data_HfC
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.56566373
_cell_length_b   3.56566373
_cell_length_c   3.56566373
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfC
_chemical_formula_sum   'Hf1 C1'
_cell_volume   32.05576539
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.00000000  0.00000000  0.00000000  1
  C  C1  1  0.25000000  0.25000000  0.25000000  1
",0.6414215250000002,"['Hf', 'C']"
mp-1002164,Ge1C1,[182363],216,1.8485999999999994,GGA,"# generated using pymatgen
data_GeC
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.25562852
_cell_length_b   3.25562852
_cell_length_c   3.25562852
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GeC
_chemical_formula_sum   'Ge1 C1'
_cell_volume   24.39998353
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ge  Ge0  1  0.00000000  0.00000000  0.00000000  1
  C  C1  1  0.25000000  0.25000000  0.25000000  1
",0.43476253499999995,"['C', 'Ge']"
mp-10064,Si1O2,[44271],225,1.9997000000000007,GGA,"# generated using pymatgen
data_SiO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.24055158
_cell_length_b   3.24055158
_cell_length_c   3.24055158
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SiO2
_chemical_formula_sum   'Si1 O2'
_cell_volume   24.06255943
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Si  Si0  1  0.00000000  0.00000000  0.00000000  1
  O  O1  1  0.25000000  0.25000000  0.25000000  1
  O  O2  1  0.75000000  0.75000000  0.75000000  1
",1.2722703766666656,"['Si', 'O']"
mp-1006878,Ba1O2,[180398],65,2.3432999999999997,GGA,"# generated using pymatgen
data_BaO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.40908108
_cell_length_b   4.40908108
_cell_length_c   3.66374000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   127.85866987
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaO2
_chemical_formula_sum   'Ba1 O2'
_cell_volume   56.23255274
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.00000000  0.00000000  0.00000000  1
  O  O1  1  0.40385300  0.59614700  0.50000000  1
  O  O2  1  0.59614700  0.40385300  0.50000000  1
",0.12001487666666755,"['Ba', 'O']"
mp-10074,Ge2Se4,"[50761, 637859, 90957]",122,1.6631,GGA,"# generated using pymatgen
data_GeSe2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.45829225
_cell_length_b   6.45829225
_cell_length_c   6.45829225
_cell_angle_alpha   123.93302228
_cell_angle_beta   123.93302228
_cell_angle_gamma   83.31291965
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GeSe2
_chemical_formula_sum   'Ge2 Se4'
_cell_volume   177.82376836
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ge  Ge0  1  0.00000000  0.00000000  0.00000000  1
  Ge  Ge1  1  0.75000000  0.25000000  0.50000000  1
  Se  Se2  1  0.37500000  0.35892100  0.48392100  1
  Se  Se3  1  0.64107900  0.12500000  0.01607900  1
  Se  Se4  1  0.10892100  0.62500000  0.98392100  1
  Se  Se5  1  0.87500000  0.89107900  0.51607900  1
",0.0,"['Ge', 'Se']"
mp-1008223,Ca1Se1,[167834],216,3.1573,GGA,"# generated using pymatgen
data_CaSe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.66690476
_cell_length_b   4.66690476
_cell_length_c   4.66690476
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaSe
_chemical_formula_sum   'Ca1 Se1'
_cell_volume   71.87400000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.00000000  0.00000000  0.00000000  1
  Se  Se1  1  0.25000000  0.25000000  0.25000000  1
",0.25802832999999925,"['Ca', 'Se']"
mp-1008395,C4,"[182761, 190716]",139,2.6075999999999997,GGA,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.34210134
_cell_length_b   3.34210134
_cell_length_c   3.34210134
_cell_angle_alpha   98.13662057
_cell_angle_beta   98.13662057
_cell_angle_gamma   135.80176205
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C4
_cell_volume   24.11250361
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.18028800  0.18028800  0.36057600  1
  C  C1  1  0.81971200  0.81971200  0.63942400  1
  C  C2  1  0.81971200  0.18028800  0.00000000  1
  C  C3  1  0.18028800  0.81971200  0.00000000  1
",0.33318600249999974,['C']
mp-1008500,Ba2O2,[173921],194,2.4251000000000005,GGA,"# generated using pymatgen
data_BaO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.84935146
_cell_length_b   3.84935146
_cell_length_c   6.69504200
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999077
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaO
_chemical_formula_sum   'Ba2 O2'
_cell_volume   85.91304457
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.33333300  0.66666700  0.25000000  1
  Ba  Ba1  1  0.66666700  0.33333300  0.75000000  1
  O  O2  1  0.00000000  0.00000000  0.50000000  1
  O  O3  1  0.00000000  0.00000000  0.00000000  1
",0.02575102249999972,"['Ba', 'O']"
mp-1008677,Ti1O2,[189325],225,1.1181999999999999,GGA,"# generated using pymatgen
data_TiO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.42239682
_cell_length_b   3.42239682
_cell_length_c   3.42239682
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiO2
_chemical_formula_sum   'Ti1 O2'
_cell_volume   28.34497600
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.00000000  0.00000000  0.00000000  1
  O  O1  1  0.75000000  0.75000000  0.75000000  1
  O  O2  1  0.25000000  0.25000000  0.25000000  1
",0.30189071083334795,"['Ti', 'O']"
mp-1008680,Ti1Ge1Pt1,"[188964, 188965]",216,0.9375999999999998,GGA,"# generated using pymatgen
data_TiGePt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.23607167
_cell_length_b   4.23607167
_cell_length_c   4.23607167
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiGePt
_chemical_formula_sum   'Ti1 Ge1 Pt1'
_cell_volume   53.74955817
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.00000000  0.00000000  0.00000000  1
  Ge  Ge1  1  0.50000000  0.50000000  0.50000000  1
  Pt  Pt2  1  0.25000000  0.25000000  0.25000000  1
",0.0,"['Ti', 'Ge', 'Pt']"
