crystal_structure.space_group_number,dft.exchange_correlation_functional,material.composition,crystal_structure.cross_reference.icsd,oqmd.band_gap.value,dc.relatedIdentifiers
131,PBE,Pt1S1,31131,0.413,
204,PBE,C10K1,66879,0.683,
148,PBE,Ag1C1N1O1,23833,3.113,
123,PBE,Cs2O5Th2,0,2.388,
123,PBE,Bi2Br1Dy1O4,92417,1.279,
225,PBE,B1Li2Tc1,0,0.414000000000001,
2,PBE,Br5C1Pr3,420331,0.733,
14,PBE,Li4O7P2,39814,6.773,
58,PBE,Au1K1Na2O2,61226,2.337,
160,PBE,As1Se3Tl3,15148,0.298,
31,PBE,Cu2Ge1Mn1S4,42490,0.362,
152,PBE,Li2O4Si1Sr1,167334,5.224,
221,PBE,Eu1O3Pu1,0,2.198,
197,PBE,Bi2O3,27152,1.241,
225,PBE,Ne1,65900,16.606,
122,PBE,Ga1Li1Te2,162673,1.841,
61,PBE,B10H13,279587,3.134,
164,PBE,As2Ba1Mg2,30916,1.312,
221,PBE,O3Pb1Ti1,153406,1.557,
14,PBE,F5Hf1Rb1,95846,6.94,
70,PBE,B2Ca1H8,164182,4.656,
156,PBE,Cu1I1,84217,1.712,
206,PBE,Dy2O3,41269,4.26,
138,PBE,Cl1Li1O2,59936,2.468,
186,PBE,C1Si1,24261,2.501,
12,PBE,In1Se1,32714,0.489,
123,PBE,Ca2O5Tb2,0,1.424,
221,PBE,Ga1O3Tm1,0,3.006,
44,PBE,Ag1N1O2,23891,1.068,
59,PBE,Cl1Cr1O1,4086,1.62,
136,PBE,Fe2O6Te1,24795,1.229,
62,PBE,Ba1Si2,15126,0.925,
224,PBE,C2N4Si1,93543,4.298,
2,PBE,Al1Cl3O2S1,170859,4.011,
82,PBE,C4La1N8Rb1Si1,419337,4.349,
198,PBE,O4Sn1W1,2840,3.486,
88,PBE,Lu1O4P1,173638,6.204,
12,PBE,As1Si1,43227,1.314,
166,PBE,As2O8Sr3,420295,4.313,
227,PBE,Li1O4V2,56720,0.388,
221,PBE,O3Sc1Tb1,0,2.091,
194,PBE,Br9Nb2Rb3,402032,0.424,
2,PBE,P1S4Sc1,67559,2.025,
59,PBE,Au1Ge4Rb3,413724,1.092,
14,PBE,Cd3O6Te1,35084,0.89,
79,PBE,Ag1Bi1Cr4O14,14233,1.876,
55,PBE,O2Si1,170516,6.15,
61,PBE,Al1Li5O4,42697,5.355,
166,PBE,C1Cl2Lu2,62227,1.2,
139,PBE,Li2O7Sr1Ta2,154175,2.364,
59,PBE,Cl1N1Ti1,27396,0.595,
221,PBE,Au1Cs1,0,1.147,
160,PBE,C1O4Rb4,245430,1.102,
62,PBE,Li1O5V2,88641,0.392,
62,PBE,O4Rb2S1,2105,6.017,
33,PBE,Ge1Mn1N2,23528,0.504,
15,PBE,Mn1O5Se2,73936,2.085,
63,PBE,In1O4V1,10431,3.169,
198,PBE,Cl4Hg3O1,27169,1.536,
194,PBE,Ba3Bi1N1,152055,0.82,
1,PBE,Cu1O8W2Y1,36622,1.513,
15,PBE,Ba1H2I2O7,60907,3.443,
123,PBE,Gd2O5Pb2,0,0.206,
221,PBE,Gd1In1O3,0,1.637,
221,PBE,Lu1O3Tb1,0,2.003,
33,PBE,Br4Rb2Zn1,39511,3.669,
216,PBE,Cl1Li6O5P1,421479,5.605,
2,PBE,Ba3O9Sb2Sr1,249663,3.698,
221,PBE,Cl1Na1,43434,4.237,
11,PBE,Ba2Cl1F7Ni2,84782,0.536,
129,PBE,Br4S9V4,415351,0.752,
166,PBE,La1Rb1Se2,281067,2.467,
62,PBE,Ge1Mn2O4,23587,1.183,
5,PBE,In1K1P2S7,91755,2.186,
13,PBE,Co1Mo1O4,81061,1.28,
12,PBE,Al2O3,82504,5.145,
43,PBE,O7P2V1,200818,1.961,
15,PBE,Er1O4Ta1,109189,4.289,
63,PBE,Ba1Cl1O2Sb1,200962,2.978,
14,PBE,F4K1O1V1,9295,3.663,
216,PBE,Cl1K1O4,33562,5.705,
221,PBE,Ho1O3Y1,0,1.578,
58,PBE,F6Li2Pt1,26168,2.735,
154,PBE,Hg1S1,70054,1.436,
129,PBE,Cs1Na1Se1,41322,2.369,
194,PBE,Li1P1Sr1,416889,1.472,
216,PBE,Ni1Sb1Sc1,40296,0.438000000000001,
6,PBE,O2Si1,75665,4.843,
15,PBE,Cu3K3Nb2S8,67697,2.047,
15,PBE,B2Be1Na2O5,249341,5.76,
146,PBE,F1H6Na1O6Te1,42,4.062,
139,PBE,F3La1,0,5.482,
221,PBE,B1Nb1O3,0,1.744,
63,PBE,N1O2Si1Y1,44163,4.304,
113,PBE,Ba1Se3,16359,1.075,
11,PBE,Cl1H2O2Tb1,260832,4.987,
225,PBE,Br6Cs2Te1,24151,2.153,
55,PBE,Ge1Mn2O4,36065,1.199,
225,PBE,Cl6Cs2Na1Y1,65732,5.309,
5,PBE,As2Li1O7Sc1,161499,3.775,
2,PBE,Co1H8K2O16P4,261585,3.184,
221,PBE,Ac1Lu1O3,0,2.658,
63,PBE,Ag1Ba1Se3Y1,104237,1.379,
129,PBE,Er1F1S1,94476,1.319,
113,PBE,Ca2Ge2O7Zn1,69387,3.199,
225,PBE,Ba2Nb1O6Sm1,109153,3.041,
12,PBE,Cd1Cl2O2Pb2,168248,2.363,
61,PBE,H2Mg1,155811,2.307,
2,PBE,K1Mn1Na1O10Si4,260176,3.19,
140,PBE,Ba1Te2,75555,0.468999999999999,
194,PBE,O2Si1,40896,5.623,
221,PBE,B1Lu1O3,0,3.125,
63,PBE,F6K2Zr1,14126,6.245,
221,PBE,B1Nd1O3,0,2.094,
123,PBE,In2O5Sr2,0,0.615,
11,PBE,Al3F12Na1Rb2,40177,7.999,
139,PBE,Ba3S7Zr2,75241,0.799,
63,PBE,Cs1Hg1La1Se3,281441,1.684,
2,PBE,H4K2Mn1O10Se2,96783,0.97,
123,PBE,O5Sr2Y2,0,2.211,
14,PBE,C2H4I1N2Na1O2,67245,4.079,
64,PBE,Cu1F6Sr2,9926,1.081,
123,PBE,O5Tl2U2,0,0.697,
221,PBE,Ce1O3Y1,0,1.935,
183,PBE,Au1C1N1,165173,0.858,
122,PBE,As2Si1Zn1,22184,1.062,
186,PBE,Cd1I2,38116,2.203,
148,PBE,Cl18Cs2Nb6Pb1,409544,1.196,
216,PBE,Bi1Gd1Ni1,58785,0.311,
62,PBE,Cs1F4I1O1,2754,4.506,
225,PBE,F3La1,0,4.816,
14,PBE,Ag2O3Se1,78388,1.816,
12,PBE,Cr3O8Rb1,82622,1.765,
62,PBE,Ba1Nd2O4,78486,3.258,
129,PBE,F1S1Y1,87130,1.452,
162,PBE,Bi1I3,20676,2.216,
62,PBE,S3Sr2Zn1,421354,2.51,
63,PBE,Cs1Hg1Se3Sm1,281445,1.665,
197,PBE,Bi12O20Pb1,75392,1.478,
123,PBE,Al2O5Sm2,0,0.346,
15,PBE,As1Ca1F1Mg1O4,56862,4.524,
59,PBE,B2Be1C2,418618,0.282999999999999,
55,PBE,B1Ga1Ni2O5,69616,3.59,
221,PBE,Ce1Ga1O3,0,3.165,
52,PBE,Br4K1Tl1,35418,1.853,
194,PBE,As1K1Zn1,10459,0.529,
215,PBE,Cu3Nb1Se4,73956,1.54,
88,PBE,Er1O4V1,69118,2.866,
123,PBE,O5Tb2Zn2,0,0.571999999999999,
225,PBE,Be2C1,41567,1.413,
221,PBE,Ge1O3Si1,0,2.806,
123,PBE,K2O5Pu2,0,1.778,
164,PBE,Cu1I1,84217,1.747,
14,PBE,Ce1O4P1,22265,5.987,
205,PBE,Mg1Se2,642815,1.773,
167,PBE,Ca3Li1O6Os1,248206,0.402,
147,PBE,As2S6Sn1Tl2,72907,0.999,
186,PBE,Mn1Nd4O1Se6,391299,2.162,
62,PBE,K1Na1S1,62658,2.773,
12,PBE,Ag3In1O8P2,245001,1.393,
129,PBE,Br1La1O1,41065,3.76,
166,PBE,Cd1Na4P2,67262,0.988,
141,PBE,Cr1Eu1O4,26981,2.473,
139,PBE,Ca2N2Zn1,69049,0.712,
