Unnamed: 0,ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
0,Insulator,1.932,-5.995,94.819,42.231,432.166,95.766,2.8160000000000003,91.426,2.679,2.8760000000000003,5.986e-05,Cr4Te8O22,mp-540537
1,Insulator,5.226,-5.704,41.67100000000001,37.894,728.549,100.314,2.322,97.191,2.281,2.488,6.032e-05,Na4P4H16O20,mp-554288
2,Insulator,5.481,-5.721,41.956,34.894,737.404,60.058,2.251,55.81100000000001,2.265,2.495,5.993e-05,Li4P4H8O12,mp-23931
3,Insulator,1.8230000000000002,-4.513,30.685,14.109000000000002,211.597,56.09,3.0410000000000004,52.74,2.926,2.374,5.266e-05,Ba4Te4S12,mp-27499
4,Insulator,4.296,-3.2710000000000004,12.821,6.272,232.003,120.76,3.137,115.147,2.898,2.802,6.336e-05,K4Ga8Cl28,mp-680577
5,Insulator,4.462,-7.319,87.585,50.211000000000006,565.321,93.87700000000001,2.5980000000000003,88.021,2.532,2.634,5.176e-05,Li2Nd2P8O24,mp-18711
6,Insulator,3.5260000000000002,-5.718999999999999,26.673000000000002,32.893,688.357,102.902,2.417,99.38799999999999,2.314,2.411,5.991e-05,K4Co2H16C4O20,mp-24350
7,Insulator,4.588,-6.186,66.005,50.948,763.0189999999999,100.446,2.282,98.652,2.24,3.03,6.015e-05,Ca6Si4H12O20,mp-696156
8,Insulator,2.7880000000000003,-5.8660000000000005,38.357,24.601999999999997,650.146,96.456,2.4459999999999997,91.40899999999999,2.398,2.344,5.897e-05,Na8P4H8C2O18,mp-696155
9,Insulator,3.81,-4.849,10.124,32.069,605.7280000000001,111.08200000000001,2.5340000000000003,107.68299999999999,2.399,2.9810000000000003,5.984e-05,Na6As2H28S2O20,mp-721287
10,Insulator,3.785,-4.246,26.256999999999998,10.17,454.954,23.013,2.85,22.814,2.7230000000000003,3.1439999999999997,5.951e-05,Na2Cl2O4,mp-30965
11,Insulator,2.7910000000000004,-3.862,8.172,5.746,171.642,72.166,3.3169999999999997,71.793,2.9530000000000003,3.065,5.456e-05,Cs6Mn2Cl10,mp-504451
12,Insulator,4.65,-5.2379999999999995,21.719,35.033,812.255,144.17700000000002,2.298,129.975,2.146,3.083,5.842e-05,Na8Si4H64O44,mp-504605
13,Metal,0.0,-4.026,45.306999999999995,26.851,299.401,76.695,3.005,74.654,2.875,3.023,6.053e-05,Ca10Ga4As12,mp-17558
14,Metal,0.0,-6.294,135.471,78.513,449.522,59.019,2.765,61.387,2.6630000000000003,2.61,5.193e-05,Yb4Fe6O14,mp-19064
15,Insulator,2.022,-7.529,148.141,96.958,422.685,116.661,2.752,113.427,2.678,2.765,5.163e-05,Pb8W8O32,mp-641415
16,Insulator,4.145,-4.973,28.156,37.159,617.689,119.53,2.54,109.428,2.4419999999999997,2.859,5.727e-05,In4H28N8O4F16,mp-706283
17,Insulator,1.296,-6.894,30.4,20.499000000000002,412.44,100.15299999999999,2.722,95.38799999999999,2.543,2.792,6.498e-05,Mo4C16I4O16,mp-1201209
18,Insulator,3.573,-4.756,40.899,38.95,573.2719999999999,31.384,2.5610000000000004,29.057,2.447,3.2310000000000003,6.0299999999999995e-05,Na1Te1H6O6F1,mp-633158
19,Insulator,4.05,-4.899,7.457000000000001,5.41,449.343,110.978,2.6839999999999997,104.417,2.6660000000000004,2.752,6.696e-05,P8S4N12Cl20O4,mp-556186
20,Insulator,1.9169999999999998,-4.414,16.059,16.054000000000002,368.99800000000005,50.007,2.8819999999999997,49.511,2.764,2.443,6.076e-05,Ge12S24,mp-1197287
21,Insulator,2.07,-6.582999999999999,134.565,74.582,406.42,103.01799999999999,2.804,97.824,2.665,2.802,5.177e-05,Fe2Bi6Mo4O24,mp-560123
22,Insulator,1.053,-3.483,5.502000000000001,8.027999999999999,176.322,143.243,3.031,144.565,2.929,2.45,5.938e-05,Sn24S12I24,mp-23386
23,Insulator,5.9,-5.746,44.28,36.717,610.497,68.471,2.456,58.775,2.3169999999999997,2.49,6.548e-05,Li8S4O16,mp-4556
24,Insulator,1.624,-3.858,41.869,21.544,295.089,20.115,2.975,19.93,2.842,2.4819999999999998,6.111e-05,Ga4S4,mp-2507
25,Insulator,5.294,-5.715,59.332,72.55,958.3910000000001,140.523,1.966,130.075,1.9069999999999998,2.945,5.937e-05,Mg4B12H60O52,mp-706339
26,Insulator,2.773,-6.09,66.456,33.192,461.705,30.668000000000003,2.7489999999999997,30.765,2.5980000000000003,2.6519999999999997,5.993e-05,K2Tc2O8,mp-7621
27,Insulator,3.455,-6.7139999999999995,71.123,33.016999999999996,402.23699999999997,31.680999999999997,2.7889999999999997,31.781,2.688,2.5469999999999997,5.152e-05,K2Re2O8,mp-4757
28,Insulator,2.736,-6.601,58.833,48.701,484.19599999999997,24.495,2.6830000000000003,25.824,2.595,2.978,5.15e-05,Os2O8,mp-540783
29,Insulator,5.147,-5.606,27.19,34.815,758.711,111.836,2.3040000000000003,105.37200000000001,2.2880000000000003,2.5540000000000003,6.017e-05,Na4P4H24O24,mp-696157
30,Insulator,7.1739999999999995,-5.278,29.541999999999998,25.36,489.29699999999997,113.698,2.722,106.904,2.6289999999999996,3.197,6.979e-05,Rb4Li8Be8F28,mp-560518
