material_id,full_formula,band_gap,is_gap_direct,direct_gap,p_ex1_norm,p_ex1_degen,n_ex1_norm,n_ex1_degen,cbm_hybridization,cbm_character_1,cbm_specie_1,cbm_location_1,cbm_score_1,vbm_hybridization,vbm_character_1,vbm_specie_1,vbm_location_1,vbm_score_1
mp-715566,Cr2O6,2.052,0.0,2.1412,0.7071067811865476,2.0,0.0,1.0,1.7402538991711463,d,Cr,0.093788;0.883794;0.25,0.34177108671568274,1.8955833104050468,p,O,0.848274;0.400666;0.75,0.22088042416525755
mp-7232,Cs2Hg1O2,2.0818,0.0,2.121,0.5,2.0,0.0,1.0,2.088457523341315,p,O,0.863169;0.863169;0.0,0.21564716158382222,1.160447009640441,p,O,0.863169;0.863169;0.0,0.42418058643859624
mp-726,Se8O16,3.2874,0.0,3.6311,0.5,1.0,0.7071067811865476,1.0,3.495011638515246,p,Se,0.787162;0.867377;0.0,0.06309113568149631,3.1341614952403636,p,O,0.053877;0.179755;0.5,0.0684978101579349
mp-743,Rb2N6,4.1608,1.0,4.1608,0.8660254037844386,1.0,0.8660254037844386,1.0,2.262899322015941,p,N,0.5;0.0;0.5,0.23738622703540935,1.5033621702742197,p,N,0.630237;0.869763;0.5,0.24635421283628045
mp-743614,Mo2H4Cl4O6,2.6314,0.0,2.643,0.8660254037844386,1.0,0.35714286,2.0,1.695692949434111,d,Mo,0.338201;0.294933;0.0,0.3431996006992558,2.2100540402215314,p,Cl,0.749895;0.73617;0.746424,0.16845318486395788
mp-760,Fe2Se4,0.3741000000000003,0.0,0.9001999999999999,0.35606061,2.0,0.7071067811865476,1.0,1.6500858508903438,d,Fe,0.5;0.5;0.5,0.3782987077844748,1.3089950969200879,d,Fe,0.0;0.0;0.0,0.4331680234036825
mp-7825,K2Ge1F6,5.8098,0.0,5.8344000000000005,0.28571429,2.0,0.0,1.0,2.1534933490452604,s,Ge,0.0;0.0;0.0,0.4300720102468308,1.815556214473428,p,F,0.847317;0.152683;0.784111,0.16663399229538622
mp-7826,Hg3O3,1.3293,0.0,1.4068,0.5297405025104273,6.0,0.0,1.0,2.338453305967702,p,O,0.439358;0.0;0.833333,0.16272974723410824,1.863387013732783,p,O,0.0;0.439358;0.166667,0.24840736672981056
mp-7827,K4Ni2C8N8,3.0324,0.0,3.0324,0.5030769526095521,2.0,0.5,1.0,3.146615319088757,d,Ni,0.5;0.0;0.5,0.1227417746590267,1.0963246878047186,d,Ni,0.5;0.0;0.5,0.4633906076173693
mp-7841,Ba2Ga4Se8,1.8607,0.0,1.9489,0.16666667,2.0,0.7071067811865476,1.0,3.0628196733853725,s,Ga,0.240305;0.757859;0.5,0.11193153423103215,2.4966404105157647,p,Se,0.647325;0.824498;0.5,0.11266717381373524
