MP_Eg,OQMD_Eg,AFLOW_Eg,AFLOW-fitted_EG,AFLOWML_Eg,JARVIS-TBMBJ_Eg,JARVIS-OPT_Eg,Exp_Eg
1.8555,1.7080000000000002,1.5922,3.0592900000000003,1.145,2.1481,1.6051,3.4
0.5773999999999999,,,,,1.1211,,
1.8485999999999996,1.771,,,1.508,2.6156,1.9273,
1.9997000000000007,2.134,,,3.8339999999999996,3.2089,2.2105,8.0
2.3433,1.601,2.2237,3.91055,2.217,3.2654,2.0697,
1.6631,1.694,1.4296,2.8401,1.296,2.0553,1.236,
3.1573,3.359,3.165,5.1794199999999995,2.31,4.6482,3.3013,4.87
2.6076,,2.4828,4.25981,2.509,3.7268,2.8506,
2.4251000000000005,2.504,2.3603,4.09468,2.425,3.5942,2.3807,
1.1182,,,,1.946,1.6668,1.1878,3.05
0.9375999999999998,,,,,,,
1.8008000000000002,,,,2.004,2.9130000000000003,1.8606,
0.7032999999999996,,,,,,,
0.6288999999999998,0.596,,,1.074,1.4103,,4.7
2.9211,,,,3.6039999999999996,,,7.4
3.023000000000001,,3.0123,4.97358,3.3160000000000003,5.678,3.647,7.4
2.0148,,,,1.81,2.5494,1.7322,
0.7772000000000001,,,,,1.021,,0.9
0.6809999999999999,,0.5518,1.65683,0.409,,,1.9
0.6966999999999999,,,,,1.0559,,
0.7694999999999999,,,,,1.0313,,0.46
0.7149000000000001,0.7509999999999999,,,,0.6823,0.6609,
0.4113999999999995,,,1.00965,,,,0.59
2.7855000000000003,2.7760000000000002,,,2.752,3.8865,2.7776,5.77
0.6336999999999993,0.9500000000000011,,,,1.4340000000000002,0.748,
0.5468999999999999,,,,,1.1017,,
2.4638,,,,3.883,4.176,3.0362,
0.8468999999999998,,0.8313,2.0335900000000002,1.155,1.9305,1.1207,
3.3345,3.47,,,2.991,,,
2.1886,2.325,,,2.306,2.8229,2.2577,
2.2537,1.736,,,1.38,2.8778,1.5563,
2.1746,2.02,,,2.781,3.6076,2.1386,
1.2720000000000002,1.304,1.1637,2.4816700000000003,0.809,1.8727,1.2002,
1.4342,,1.3777,2.77014,1.921,2.6573,1.4659,
1.2935,,,,1.68,,,
4.675000000000002,4.7589999999999995,4.6741,7.21369,4.445,6.315,4.7249,
1.3035999999999994,,1.2111,2.54556,0.985,1.3139,0.9418,
1.3361,,1.2619,2.61404,1.068,1.3644,0.958,
1.1671000000000005,,0.8740000000000001,2.09115,0.813,1.0461,0.8919,
2.3351,2.319,,,3.022,3.7258,2.3033,
3.1177,,,,3.12,3.7861,3.2003,
3.945,,,,4.328,,,
4.5585,,,,4.566,,,
4.6929,,,,5.002,,,
4.7774,,,,4.41,6.8918,5.2615,
3.5621,,3.5254,5.66524,3.2889999999999997,5.8891,3.8709,
4.1738,,,,3.947,6.4971,4.4991,
0.4331000000000005,0.4,,,,0.4818,,
4.5459000000000005,,,,4.013999999999999,,,
4.5994,,,,4.802,,,
4.9224000000000006,,,,5.025,,,
3.8234,,,,4.531000000000001,5.9305,4.2592,
5.011099999999999,,,,5.021,,,
5.5374,,,,4.802,8.0494,5.9567,
4.4110999999999985,,,,4.641,,,
4.642100000000001,,,,4.687,,,
2.6129,2.166,,,2.099,2.8211,2.1762,
