Compound,RF P,RF P Prob,GB P,GB P Prob,RF C,RF C Prob,GB C,GB C Prob
AgIO3,1,0.5153557651976342,0,0.454425094679946,0,0.084,-1,
AgPaO3,1,0.6488109293164378,0,0.4791196540879136,0,0.109,-1,
AgReO3,0,0.18958237304438683,0,0.05514597009102364,-1,,-1,
AgUO3,1,0.5462245985836787,0,0.4176320041355149,0,0.109,-1,
AgWO3,1,0.7744217112096774,0,0.40622947553716526,0,0.24887445887445886,-1,
NaReO3,0,0.30891237986385006,0,0.08028047966976805,-1,,-1,
TlWO3,1,0.9814513126993479,1,0.9750603484620075,0,0.0,0,0.0026889899370433567
CaAmO3,1,0.9347381159522891,1,0.9458078263211617,0,0.0,0,0.0026889899370433567
CaCeO3,1,0.9094935849367808,1,0.9532079640314194,0,0.0,0,0.0026889899370433567
CaCoO3,1,0.9899002478429674,1,0.9910195103549023,0,0.0,0,0.0026889899370433567
CaNpO3,0,0.34709807078886024,0,0.4033592508988782,-1,,-1,
CaPaO3,1,0.9757002175682663,1,0.9862885176633843,0,0.0,0,0.0026889899370433567
CaPrO3,0,0.3570980707888603,0,0.21957417791826575,-1,,-1,
CaPuO3,1,0.9378420586046188,1,0.9458078263211617,0,0.0,0,0.0026889899370433567
CaTbO3,1,0.9566049485515689,1,0.9850435714630947,0,0.0,0,0.0026889899370433567
CaTeO3,1,0.8665340261757829,1,0.9787733000604324,0,0.01,0,0.006714383010328082
CaThO3,0,0.17947692232947648,0,0.03981937551062502,-1,,-1,
CdAmO3,1,0.6293531907141534,1,0.6336739463619024,0,0.0,0,0.0026889899370433567
CdCeO3,1,0.5199750567376065,0,0.46118549932565334,0,0.0,-1,
CdCoO3,1,0.6908703394489655,1,0.6964767877425707,0,0.0,0,0.0026889899370433567
CdCrO3,1,0.8346736916901695,1,0.837704820242969,0,0.0,0,0.0026889899370433567
CdHfO3,1,0.6676823147673371,1,0.8263986112646119,0,0.0,0,0.0026889899370433567
CdIrO3,1,0.8534236916901695,1,0.837704820242969,0,0.0,0,0.0026889899370433567
CdMnO3,1,0.7210667685488497,1,0.8263986112646119,0,0.0,0,0.0026889899370433567
CdMoO3,1,0.7210667685488497,1,0.8263986112646119,0,0.0,0,0.0026889899370433567
CdNbO3,1,0.6937180290530514,1,0.8263986112646119,0,0.0,0,0.0026889899370433567
CdPaO3,1,0.6224760678909061,1,0.5635230702521139,0,0.0,0,0.0026889899370433567
