Compound,KM labels
AgIO3,2
AgPaO3,1
AgReO3,2
AgUO3,1
AgWO3,2
NaReO3,0
TlWO3,2
CaAmO3,3
CaCeO3,3
CaCoO3,0
CaNpO3,3
CaPaO3,3
CaPrO3,3
CaPuO3,3
CaTbO3,3
CaTeO3,0
CaThO3,3
CdAmO3,1
CdCeO3,1
CdCoO3,2
CdCrO3,2
CdHfO3,2
CdIrO3,2
CdMnO3,2
CdMoO3,2
CdNbO3,2
CdPaO3,1
CdPuO3,1
CdRuO3,2
CdTbO3,1
CdUO3,1
CdVO3,2
CdZrO3,2
Eu(II)Co(IV)O3,3
EuCrO3,0
EuGeO3,0
EuHfO3,3
EuIrO3,0
EuMnO3,0
EuMoO3,0
EuNbO3,0
EuPaO3,3
EuPbO3,0
EuPuO3,3
Eu(II)Ru(IV)O3,3
EuSnO3,0
EuUO3,3
Eu(II)V(IV)O3,3
EuZrO3,3
HgAmO3,1
HgCoO3,2
HgCrO3,2
HgGeO3,2
HgHfO3,2
HgIrO3,2
HgMnO3,2
HgMoO3,2
HgNbO3,2
HgPaO3,1
HgPbO3,2
HgPuO3,1
HgRuO3,2
HgSnO3,2
HgTbO3,1
HgUO3,1
HgVO3,2
HgZrO3,2
MnHfO3,2
MnIrO3,2
MnMoO3,2
MnNbO3,2
MnRuO3,2
MnZrO3,2
PbAmO3,1
PbIrO3,2
PbMoO3,2
PbNbO3,2
PbNpO3,1
PbPaO3,1
PbPrO3,1
PbPuO3,1
PbRuO3,2
PbTbO3,1
PbThO3,1
PbUO3,1
PbVO3,2
SrCrO3,0
SrNpO3,3
SrPaO3,3
SrUO3,3
BiCoO3,2
BiCrO3,2
BiCuO3,2
BiErO3,1
BiGaO3,2
BiHoO3,1
BiLaO3,1
BiLuO3,1
BiNiO3,2
BiRhO3,2
BiRuO3,2
BiTiO3,2
BiTmO3,1
BiVO3,2
BiYO3,1
CeCoO3,0
CeCuO3,0
CeInO3,0
CeNiO3,0
CeRhO3,0
